Alias,Localization,IP
macB,IntegralMembraneProtein,1.82
maeA,Cytoplasmic,0.89
maeB,Cytoplasmic,0.99
mak,Cytoplasmic,0.76
malE,Periplasmic,0.64
malP,Cytoplasmic,1.26
malQ,Cytoplasmic,0.84
malT,Cytoplasmic,1.83
malY,Cytoplasmic,0.97
malZ,Cytoplasmic,1.00
manA,Cytoplasmic,0.65
manX,Cytoplasmic,0.70
manY,IntegralMembraneProtein,4.31
manZ,IntegralMembraneProtein,2.20
map,Cytoplasmic,0.62
marA,Cytoplasmic,0.55
marC,IntegralMembraneProtein,5.38
mazG,Cytoplasmic,0.82
mcrB,Cytoplasmic,0.98
mcrC,Cytoplasmic,0.65
mdaB,Cytoplasmic,0.63
mdh,Cytoplasmic,0.61
mdlA,IntegralMembraneProtein,4.87
mdlB,IntegralMembraneProtein,1.68
mdoB,IntegralMembraneProtein,7.16
mdoC,IntegralMembraneProtein,3.36
mdoD,Periplasmic,0.99
mdoG,Periplasmic,0.75
mdoH,IntegralMembraneProtein,1.36
mdtA,Periplasmic,2.24
mdtB,IntegralMembraneProtein,2.79
mdtC,IntegralMembraneProtein,2.00
mdtI,IntegralMembraneProtein,5.21
mdtJ,IntegralMembraneProtein,8.24
mdtK,IntegralMembraneProtein,3.14
mdtL,IntegralMembraneProtein,6.37
menA,IntegralMembraneProtein,4.64
menB,Cytoplasmic,0.85
menC,Cytoplasmic,0.86
menD,Cytoplasmic,1.15
menE,Cytoplasmic,0.91
menF,Cytoplasmic,0.68
mepA,Periplasmic,0.69
metA,Cytoplasmic,1.12
metB,Cytoplasmic,1.61
metC,Cytoplasmic,0.96
metE,Cytoplasmic,0.83
metF,Cytoplasmic,0.60
metG,Cytoplasmic,1.16
metH,Cytoplasmic,1.31
metI,IntegralMembraneProtein,1.62
metJ,Cytoplasmic,0.55
metK,Cytoplasmic,0.93
metL,Cytoplasmic,1.09
metN,Cytoplasmic,0.69
metQ,Lipoprotein,1.12
metR,Cytoplasmic,0.89
mfd,Cytoplasmic,0.82
mglA,Cytoplasmic,0.96
mglB,Periplasmic,0.65
mglC,IntegralMembraneProtein,6.59
mgrB,IntegralMembraneProtein,0.86
mgsA,Cytoplasmic,0.66
mgtA,IntegralMembraneProtein,2.35
mhpE,Cytoplasmic,0.69
mhpF,Cytoplasmic,0.68
miaA,Cytoplasmic,1.00
miaB,Cytoplasmic,0.93
minC,Cytoplasmic,0.75
minD,Cytoplasmic,0.69
minE,Cytoplasmic,0.52
mioC,Cytoplasmic,0.65
mipA,OutermembraneProtein,0.83
mltA,OutermembraneLipoprotein,0.66
mltB,OutermembraneLipoprotein,0.76
mltC,OutermembraneLipoprotein,0.90
mltD,OutermembraneLipoprotein,0.79
mngB,Cytoplasmic,1.05
mngR,Cytoplasmic,0.64
mnmA,Cytoplasmic,0.98
mnmC,Cytoplasmic,0.98
mnmG,Cytoplasmic,0.99
mntH,IntegralMembraneProtein,1.50
mntR,Cytoplasmic,0.70
moaA,Cytoplasmic,1.03
moaB,Cytoplasmic,0.81
moaC,Cytoplasmic,0.62
moaD,Cytoplasmic,0.75
moaE,Cytoplasmic,0.67
modA,Periplasmic,0.70
modB,IntegralMembraneProtein,5.28
modE,Cytoplasmic,0.66
modF,Cytoplasmic,0.96
moeA,Cytoplasmic,0.76
moeB,Cytoplasmic,0.64
mogA,Cytoplasmic,0.74
mpl,Cytoplasmic,1.00
mppA,Periplasmic,1.02
mprA,Cytoplasmic,0.71
mqo,Membraneassociated,1.13
mraW,Cytoplasmic,0.59
mraY,IntegralMembraneProtein,3.20
mraZ,Cytoplasmic,0.97
mrcA,Membrane-anchored,1.86
mrcB,Membrane-anchored,3.88
mrdA,Membrane-anchored,2.58
mrdB,IntegralMembraneProtein,5.53
mreB,Cytoplasmic,0.75
mreC,Membrane-anchored,4.70
mreD,IntegralMembraneProtein,10.31
mrp,Cytoplasmic,0.69
mrr,Cytoplasmic,0.56
msbA,IntegralMembraneProtein,1.95
mscL,IntegralMembraneProtein,1.06
mscS,IntegralMembraneProtein,1.44
msrA,Cytoplasmic,0.78
msrB,Cytoplasmic,0.52
msyB,Cytoplasmic,0.93
mtfA,Cytoplasmic,1.21
mtgA,Membrane-anchored,4.42
mtlA,IntegralMembraneProtein,1.25
mtlD,Cytoplasmic,0.67
mtn,Cytoplasmic,0.67
mtr,IntegralMembraneProtein,2.72
mug,Cytoplasmic,0.72
mukB,Cytoplasmic,0.96
mukE,Cytoplasmic,0.55
mukF,Cytoplasmic,0.73
murA,Cytoplasmic,0.76
murB,Cytoplasmic,0.80
murC,Cytoplasmic,0.75
murD,Cytoplasmic,0.72
murE,Cytoplasmic,1.24
murF,Cytoplasmic,0.77
murG,Membraneassociated,1.06
murI,Cytoplasmic,0.91
murQ,Cytoplasmic,0.63
mutL,Cytoplasmic,1.01
mutM,Cytoplasmic,0.77
mutS,Cytoplasmic,1.19
mutT,Cytoplasmic,0.59
mutY,Cytoplasmic,0.69
nadA,Cytoplasmic,0.81
nadB,Cytoplasmic,0.97
nadC,Cytoplasmic,0.64
nadD,Cytoplasmic,0.70
nadE,Cytoplasmic,0.65
nadR,Cytoplasmic,0.78
nagA,Cytoplasmic,0.70
nagB,Cytoplasmic,0.58
nagC,Cytoplasmic,1.48
nagD,Cytoplasmic,0.67
nagE,IntegralMembraneProtein,1.54
nagK,Cytoplasmic,1.10
nagZ,Cytoplasmic,0.84
nanA,Cytoplasmic,0.88
nanR,Cytoplasmic,0.55
napA,Periplasmic,1.73
narL,Cytoplasmic,0.64
narP,Cytoplasmic,0.87
narQ,IntegralMembraneProtein,1.88
narX,IntegralMembraneProtein,1.40
ndh,Cytoplasmic,0.60
ndk,Cytoplasmic,0.52
nei,Cytoplasmic,0.77
nemA,-,0.78
nepI,IntegralMembraneProtein,5.61
nfi,Cytoplasmic,0.85
nfo,Cytoplasmic,0.72
nfrA,OutermembraneProtein,0.81
nfsA,Cytoplasmic,0.84
nfsB,-,0.77
nhaA,IntegralMembraneProtein,10.40
nhaB,IntegralMembraneProtein,6.59
nhaR,Cytoplasmic,0.82
nikR,Cytoplasmic,0.60
nirC,IntegralMembraneProtein,4.63
nlpA,Lipoprotein,0.66
nlpC,Lipoprotein,2.17
nlpD,OutermembraneLipoprotein,0.97
nlpE,OutermembraneProtein,0.78
nlpI,OutermembraneLipoprotein,0.69
norR,Cytoplasmic,0.98
npr,Cytoplasmic,0.47
nrdA,Cytoplasmic,2.39
nrdB,Cytoplasmic,1.04
nrdD,Cytoplasmic,0.82
nrdE,Cytoplasmic,1.30
nrdF,Cytoplasmic,1.53
nrdR,Cytoplasmic,0.72
nsrR,Cytoplasmic,0.54
nth,Cytoplasmic,0.53
ntpA,Cytoplasmic,0.68
nudC,Cytoplasmic,0.76
nudE,Cytoplasmic,0.56
nudF,Cytoplasmic,0.82
nudJ,Cytoplasmic,0.73
nudK,Cytoplasmic,0.84
nuoA,IntegralMembraneProtein,12.03
nuoB,Cytoplasmic,1.07
nuoC,Cytoplasmic,1.10
nuoE,Cytoplasmic,0.52
nuoF,Cytoplasmic,0.74
nuoG,Cytoplasmic,1.01
nuoH,IntegralMembraneProtein,2.51
nuoI,Cytoplasmic,0.81
nuoJ,IntegralMembraneProtein,5.29
nuoK,IntegralMembraneProtein,4.88
nuoL,IntegralMembraneProtein,7.63
nuoM,IntegralMembraneProtein,5.70
nuoN,IntegralMembraneProtein,2.67
nupC,IntegralMembraneProtein,3.44
nupG,IntegralMembraneProtein,4.17
nusA,Cytoplasmic,0.58
nusB,Cytoplasmic,0.71
nusG,Cytoplasmic,0.60
obgE,Cytoplasmic,0.68
ompA,OutermembraneProtein,0.58
ompC,OutermembraneProtein,0.86
ompF,OutermembraneProtein,0.79
ompR,Cytoplasmic,0.69
ompT,OutermembraneProtein,0.92
ompX,OutermembraneProtein,0.76
oppA,Periplasmic,0.51
oppC,IntegralMembraneProtein,3.60
oppD,Cytoplasmic,0.74
oppF,Cytoplasmic,0.76
orn,Cytoplasmic,0.65
osmB,OutermembraneLipoprotein,0.81
osmC,Cytoplasmic,0.81
osmE,OutermembraneLipoprotein,0.72
osmY,Periplasmic,0.62
otsA,Cytoplasmic,0.85
oxyR,Cytoplasmic,0.75
paaX,Cytoplasmic,0.75
pabA,Cytoplasmic,0.73
pabB,Cytoplasmic,0.76
pabC,Cytoplasmic,0.80
pal,OutermembraneLipoprotein,0.56
panB,Cytoplasmic,0.80
panC,Cytoplasmic,0.65
panD,Cytoplasmic,0.56
panE,Cytoplasmic,1.05
panF,IntegralMembraneProtein,3.52
parC,Cytoplasmic,1.24
parE,Cytoplasmic,0.84
pbpC,IntegralMembraneProtein,1.15
pbpG,Periplasmic,0.81
pck,Cytoplasmic,0.86
pcm,Cytoplasmic,0.73
pcnB,Cytoplasmic,2.01
pdhR,Cytoplasmic,0.58
pdxA,Cytoplasmic,0.66
pdxB,Cytoplasmic,0.81
pdxH,Cytoplasmic,0.74
pdxJ,Cytoplasmic,0.74
pdxK,Cytoplasmic,0.74
pdxY,Cytoplasmic,0.90
pepA,Cytoplasmic,0.85
pepB,Cytoplasmic,0.71
pepD,Cytoplasmic,0.83
pepN,Cytoplasmic,1.09
pepP,Cytoplasmic,0.89
pepQ,Cytoplasmic,0.76
pepT,Cytoplasmic,0.85
pfkA,Cytoplasmic,0.84
pfkB,Cytoplasmic,0.75
pflA,Cytoplasmic,0.92
pflB,Cytoplasmic,0.62
pgi,Cytoplasmic,0.65
pgk,Cytoplasmic,0.61
pgl,Cytoplasmic,0.68
pgm,Cytoplasmic,0.69
pgpA,IntegralMembraneProtein,2.09
pgpB,IntegralMembraneProtein,3.87
pgsA,IntegralMembraneProtein,5.47
pheA,Cytoplasmic,0.77
pheL,Cytoplasmic,0.38
pheM,Cytoplasmic,0.64
pheP,IntegralMembraneProtein,2.15
pheS,Cytoplasmic,0.72
pheT,Cytoplasmic,1.29
phoA,Periplasmic,1.23
phoB,Cytoplasmic,1.08
phoE,OutermembraneProtein,2.30
phoP,Cytoplasmic,0.57
phoQ,IntegralMembraneProtein,2.48
phoR,Membrane-anchored,2.52
phoU,Cytoplasmic,0.73
phr,Cytoplasmic,1.17
pitA,IntegralMembraneProtein,2.60
pldA,OutermembraneProtein,1.04
pldB,Cytoplasmic,1.38
plsB,Cytoplasmic,1.23
plsC,Membrane-anchored,2.89
plsX,Cytoplasmic,0.78
pmbA,Cytoplasmic,1.04
pmrD,Cytoplasmic,0.54
pncA,Cytoplasmic,0.77
pncB,Cytoplasmic,1.01
pnp,Cytoplasmic,0.82
pntA,IntegralMembraneProtein,2.16
pntB,IntegralMembraneProtein,4.10
pnuC,IntegralMembraneProtein,1.82
polA,Cytoplasmic,0.72
polB,Cytoplasmic,1.05
potA,Cytoplasmic,0.73
potB,IntegralMembraneProtein,5.35
potC,IntegralMembraneProtein,9.18
potD,Periplasmic,0.80
potF,Periplasmic,0.76
potG,Cytoplasmic,0.84
potH,IntegralMembraneProtein,7.21
poxA,Cytoplasmic,0.98
poxB,Cytoplasmic,1.19
ppa,Cytoplasmic,0.60
ppc,Cytoplasmic,0.98
ppiA,Periplasmic,0.56
ppiB,Cytoplasmic,0.57
ppiC,Cytoplasmic,0.54
ppiD,IntegralMembraneProtein,1.70
ppk,Cytoplasmic,0.98
ppnK,Cytoplasmic,0.94
pppA,IntegralMembraneProtein,1.38
pps,Cytoplasmic,0.91
ppx,Cytoplasmic,1.41
pqiA,IntegralMembraneProtein,2.44
pqiB,Membrane-anchored,0.83
pqqL,Cytoplasmic,1.02
prc,Periplasmic,0.70
prfA,Cytoplasmic,0.66
prfB,Cytoplasmic,0.73
prfC,Cytoplasmic,0.90
priA,Cytoplasmic,0.78
priB,Cytoplasmic,0.69
prkB,Cytoplasmic,0.67
prlC,Cytoplasmic,0.61
prmA,Cytoplasmic,0.68
prmB,Cytoplasmic,0.74
prmC,Cytoplasmic,0.60
proA,Cytoplasmic,0.66
proB,Cytoplasmic,1.00
proC,Cytoplasmic,0.82
proP,IntegralMembraneProtein,1.18
proQ,Cytoplasmic,0.59
proS,Cytoplasmic,0.88
proV,Cytoplasmic,0.60
proW,IntegralMembraneProtein,1.31
proX,Periplasmic,0.73
proY,IntegralMembraneProtein,5.32
prs,Cytoplasmic,0.75
psd,Cytoplasmic,0.75
pspA,Cytoplasmic,0.52
pspB,Membrane-anchored,14.50
pspC,Membrane-anchored,2.56
pspE,Periplasmic,0.59
pspF,Cytoplasmic,1.05
pssA,Cytoplasmic,0.64
pstA,IntegralMembraneProtein,5.44
pstB,Cytoplasmic,0.73
pstC,IntegralMembraneProtein,2.17
pstS,Periplasmic,1.62
pta,Cytoplasmic,0.79
pth,Cytoplasmic,0.63
ptrA,Periplasmic,0.86
ptrB,Cytoplasmic,1.09
ptsG,IntegralMembraneProtein,1.27
ptsH,Cytoplasmic,0.53
ptsI,Cytoplasmic,0.62
ptsN,Cytoplasmic,0.57
ptsP,Cytoplasmic,1.48
purA,Cytoplasmic,0.94
purB,Cytoplasmic,0.93
purC,Cytoplasmic,0.58
purD,Cytoplasmic,0.71
purE,Cytoplasmic,0.70
purF,Cytoplasmic,0.86
purH,Cytoplasmic,0.81
purK,Cytoplasmic,0.94
purL,Cytoplasmic,1.09
purM,Cytoplasmic,0.84
purN,Cytoplasmic,0.67
purR,Cytoplasmic,0.77
purT,Cytoplasmic,1.03
purU,Cytoplasmic,0.58
putA,Cytoplasmic,1.02
putP,IntegralMembraneProtein,2.54
puuA,Cytoplasmic,1.02
pykA,Cytoplasmic,0.78
pykF,Cytoplasmic,0.56
pyrB,Cytoplasmic,0.87
pyrC,Cytoplasmic,0.76
pyrD,Cytoplasmic,0.76
pyrE,Cytoplasmic,0.56
pyrF,Cytoplasmic,0.76
pyrG,Cytoplasmic,0.82
pyrH,Cytoplasmic,2.52
pyrI,Cytoplasmic,0.51
qmcA,IntegralMembraneProtein,4.95
qseC,IntegralMembraneProtein,5.36
queA,Cytoplasmic,0.63
queC,-,1.16
queF,Cytoplasmic,0.81
racR,Cytoplasmic,0.45
radA,Cytoplasmic,1.09
raiA,Cytoplasmic,0.55
rarA,Cytoplasmic,0.71
rarD,IntegralMembraneProtein,6.03
ravA,Cytoplasmic,1.04
rbbA,Cytoplasmic,3.74
rbfA,Cytoplasmic,0.58
rbn,Cytoplasmic,1.40
rbn,Cytoplasmic,1.40
rbsA,Cytoplasmic,1.04
rbsB,Periplasmic,0.57
rbsC,IntegralMembraneProtein,5.90
rbsD,Cytoplasmic,0.54
rbsK,Cytoplasmic,0.84
rcnA,IntegralMembraneProtein,2.17
rcsA,Cytoplasmic,0.74
rcsB,Cytoplasmic,0.77
rcsC,IntegralMembraneProtein,2.38
rcsD,Membrane-anchored,4.66
rcsF,OutermembraneLipoprotein,0.70
rdgB,Cytoplasmic,0.57
rdgC,Cytoplasmic,0.77
rdoA,Cytoplasmic,1.06
recA,Cytoplasmic,0.87
recB,Cytoplasmic,1.22
recC,Cytoplasmic,1.33
recD,Cytoplasmic,0.86
recF,Cytoplasmic,1.25
recG,Cytoplasmic,0.72
recJ,Cytoplasmic,0.89
recN,Cytoplasmic,0.87
recO,Cytoplasmic,0.87
recQ,Cytoplasmic,0.85
recR,Cytoplasmic,0.85
relA,Cytoplasmic,0.99
relB,Cytoplasmic,0.56
rep,Cytoplasmic,0.94
rfaB,Cytoplasmic,0.86
rfaC,Cytoplasmic,0.68
rfaD,Cytoplasmic,0.90
rfaE,Cytoplasmic,0.96
rfaF,Cytoplasmic,0.72
rfaG,Cytoplasmic,0.66
rfaH,Cytoplasmic,0.59
rfaI,Cytoplasmic,0.80
rfaJ,Cytoplasmic,1.75
rfaL,IntegralMembraneProtein,4.53
rfaP,Cytoplasmic,0.62
rfaQ,Cytoplasmic,0.64
rfaS,Cytoplasmic,0.67
rfaY,Cytoplasmic,0.68
rfaZ,Cytoplasmic,0.67
rfbA,Cytoplasmic,0.54
rfbB,Cytoplasmic,0.69
rfbC,Cytoplasmic,0.63
rfbD,Cytoplasmic,0.88
rfbX,IntegralMembraneProtein,3.65
rfc,IntegralMembraneProtein,4.57
rfe,IntegralMembraneProtein,4.57
rffA,Cytoplasmic,1.06
rffC,Cytoplasmic,0.84
rffE,Cytoplasmic,0.82
rffG,Cytoplasmic,1.00
rffH,Cytoplasmic,0.87
rffM,Cytoplasmic,0.65
rffT,IntegralMembraneProtein,0.69
rhlB,Cytoplasmic,0.64
rhlE,Cytoplasmic,0.59
rho,Cytoplasmic,2.13
rhsD,Cytoplasmic,0.92
rhtA,IntegralMembraneProtein,24.87
rhtC,IntegralMembraneProtein,7.17
ribA,Cytoplasmic,0.75
ribB,Cytoplasmic,0.78
ribC,Cytoplasmic,0.61
ribD,Cytoplasmic,0.75
ribF,Cytoplasmic,0.70
ribH,Cytoplasmic,0.62
rihA,Cytoplasmic,0.71
rihC,Cytoplasmic,1.04
rimI,Cytoplasmic,0.62
rimJ,Cytoplasmic,1.08
rimK,Cytoplasmic,0.83
rimL,Cytoplasmic,0.70
rimM,Cytoplasmic,0.65
rimN,Cytoplasmic,0.60
rimO,Cytoplasmic,0.77
rlmB,Cytoplasmic,0.67
rlmF,Cytoplasmic,0.64
rlmG,Cytoplasmic,0.71
rlmL,Cytoplasmic,0.98
rlmN,Cytoplasmic,0.96
rlpA,OutermembraneLipoprotein,0.75
rlpB,OutermembraneLipoprotein,2.01
rluA,Cytoplasmic,0.78
rluB,Cytoplasmic,0.71
rluC,Cytoplasmic,0.56
rluD,Cytoplasmic,0.60
rluE,Cytoplasmic,0.53
rluF,Cytoplasmic,0.69
rmuC,Cytoplasmic,2.69
rna,Periplasmic,1.66
rnb,Cytoplasmic,0.65
rnc,Cytoplasmic,0.56
rnd,Cytoplasmic,1.02
rne,Cytoplasmic,0.66
rnfD,IntegralMembraneProtein,5.07
rng,Cytoplasmic,0.74
rnhA,Cytoplasmic,0.65
rnhB,Cytoplasmic,0.69
rnk,Cytoplasmic,0.60
rnlA,-,0.73
rnpA,Cytoplasmic,0.73
rnr,Cytoplasmic,0.82
rnt,Cytoplasmic,0.68
rob,Cytoplasmic,0.65
rof,Cytoplasmic,0.55
rpe,Cytoplasmic,0.65
rph,Cytoplasmic,0.70
rpiA,Cytoplasmic,0.65
rpiR,Cytoplasmic,0.71
rplA,Cytoplasmic,0.54
rplB,Cytoplasmic,0.62
rplC,Cytoplasmic,0.59
rplD,Cytoplasmic,0.61
rplE,Cytoplasmic,0.54
rplF,Cytoplasmic,0.57
rplI,Cytoplasmic,0.65
rplJ,Cytoplasmic,0.57
rplK,Cytoplasmic,0.62
rplL,Cytoplasmic,0.62
rplM,Cytoplasmic,0.74
rplN,Cytoplasmic,0.60
rplO,Cytoplasmic,0.60
rplP,Cytoplasmic,0.55
rplQ,Cytoplasmic,0.62
rplR,Cytoplasmic,0.50
rplS,Cytoplasmic,0.52
rplT,Cytoplasmic,0.49
rplU,Cytoplasmic,0.59
rplV,Cytoplasmic,0.54
rplW,Cytoplasmic,0.56
rplX,Cytoplasmic,0.54
rplY,Cytoplasmic,0.53
rpmA,Cytoplasmic,0.50
rpmB,Cytoplasmic,0.54
rpmC,Cytoplasmic,0.60
rpmD,Cytoplasmic,0.59
rpmE,Cytoplasmic,0.55
rpmF,Cytoplasmic,0.49
rpmG,Cytoplasmic,0.49
rpmH,Cytoplasmic,0.53
rpmI,Cytoplasmic,0.51
rpmJ,Cytoplasmic,0.45
rpoA,Cytoplasmic,0.73
rpoB,Cytoplasmic,0.76
rpoC,Cytoplasmic,1.21
rpoD,Cytoplasmic,0.62
rpoE,Cytoplasmic,0.52
rpoH,Cytoplasmic,0.57
rpoN,Cytoplasmic,0.67
rpoS,Cytoplasmic,0.53
rpoZ,Cytoplasmic,0.54
rppH,Cytoplasmic,0.70
rpsA,Cytoplasmic,0.68
rpsB,Cytoplasmic,0.51
rpsC,Cytoplasmic,0.53
rpsD,Cytoplasmic,0.61
rpsE,Cytoplasmic,0.55
rpsF,Cytoplasmic,0.55
rpsG,Cytoplasmic,0.53
rpsH,Cytoplasmic,0.63
rpsI,Cytoplasmic,0.59
rpsJ,Cytoplasmic,0.56
rpsK,Cytoplasmic,0.55
rpsL,Cytoplasmic,0.61
rpsM,Cytoplasmic,0.56
rpsN,Cytoplasmic,0.54
rpsO,Cytoplasmic,0.47
rpsP,Cytoplasmic,0.51
rpsQ,Cytoplasmic,0.54
rpsR,Cytoplasmic,0.51
rpsS,Cytoplasmic,0.54
rpsT,Cytoplasmic,0.51
rpsU,Cytoplasmic,0.51
rraA,Cytoplasmic,0.66
rraB,Cytoplasmic,0.59
rrmA,Cytoplasmic,0.63
rrmJ,Cytoplasmic,0.59
rseA,IntegralMembraneProtein,1.00
rseB,Periplasmic,0.98
rseC,IntegralMembraneProtein,5.13
rseP,IntegralMembraneProtein,1.71
rsgA,Cytoplasmic,0.84
rsmB,Cytoplasmic,0.67
rsmC,Cytoplasmic,0.64
rsmD,Cytoplasmic,0.67
rsmE,Cytoplasmic,0.68
rssA,Cytoplasmic,0.69
rssB,Cytoplasmic,1.34
rstA,Cytoplasmic,0.86
rstB,IntegralMembraneProtein,3.49
rsuA,Cytoplasmic,0.61
rsxA,IntegralMembraneProtein,4.40
rsxB,IntegralMembraneProtein,1.13
rsxC,IntegralMembraneProtein,0.68
rsxE,IntegralMembraneProtein,1.29
rsxG,IntegralMembraneProtein,0.64
rtn,IntegralMembraneProtein,2.53
rumA,Cytoplasmic,0.81
rumB,Cytoplasmic,0.94
ruvA,Cytoplasmic,0.84
ruvB,Cytoplasmic,0.74
ruvC,Cytoplasmic,0.68
sad,Cytoplasmic,0.70
sanA,IntegralMembraneProtein,8.46
sapA,Periplasmic,0.79
sapB,IntegralMembraneProtein,3.46
sapC,IntegralMembraneProtein,1.27
sapD,Cytoplasmic,0.60
sapF,Cytoplasmic,0.68
sbcB,Cytoplasmic,0.92
sbcC,Cytoplasmic,0.87
sbcD,Cytoplasmic,0.81
sbmA,IntegralMembraneProtein,9.25
sdaA,Cytoplasmic,0.65
sdaB,Cytoplasmic,0.75
sdaC,IntegralMembraneProtein,4.91
sdhA,Cytoplasmic,0.96
sdhB,Cytoplasmic,0.66
sdhC,IntegralMembraneProtein,10.19
sdhD,IntegralMembraneProtein,5.32
sdiA,Cytoplasmic,0.81
secA,Cytoplasmic,0.69
secB,Cytoplasmic,0.62
secD,IntegralMembraneProtein,4.33
secE,IntegralMembraneProtein,8.36
secF,IntegralMembraneProtein,4.21
secG,IntegralMembraneProtein,6.06
secM,Periplasmic,0.84
secY,IntegralMembraneProtein,1.43
selA,Cytoplasmic,0.98
selB,Cytoplasmic,0.93
selD,Cytoplasmic,1.15
seqA,Cytoplasmic,0.54
serA,Cytoplasmic,0.73
serB,Cytoplasmic,0.90
serC,Cytoplasmic,0.79
serS,Cytoplasmic,0.71
setA,IntegralMembraneProtein,5.98
sfsA,Cytoplasmic,0.83
sgrR,Cytoplasmic,1.61
shiA,IntegralMembraneProtein,1.99
sirA,Cytoplasmic,0.60
sixA,Cytoplasmic,0.69
skp,Periplasmic,0.52
slmA,Cytoplasmic,0.67
slt,Periplasmic,0.90
slyA,Cytoplasmic,0.90
slyB,OutermembraneProtein,0.87
slyD,Cytoplasmic,1.66
slyX,Cytoplasmic,0.58
smg,Cytoplasmic,0.52
smpA,OutermembraneLipoprotein,0.66
smpB,Cytoplasmic,0.64
smtA,Cytoplasmic,0.63
sodA,Cytoplasmic,0.57
sodB,Cytoplasmic,0.54
sohA,Cytoplasmic,0.56
sohB,IntegralMembraneProtein,1.32
solA,Cytoplasmic,0.84
soxS,Cytoplasmic,0.80
speA,Cytoplasmic,1.18
speB,Cytoplasmic,0.80
speC,Cytoplasmic,1.22
speD,Cytoplasmic,0.78
speE,Cytoplasmic,0.88
speG,Cytoplasmic,0.62
spoT,Cytoplasmic,0.72
sppA,Membrane-anchored,3.38
spr,Cytoplasmic,0.60
spy,Periplasmic,0.60
srlD,Cytoplasmic,2.33
srlR,Cytoplasmic,0.53
srmB,Cytoplasmic,0.93
ssb,Cytoplasmic,0.73
sscR,Cytoplasmic,0.63
sseA,Cytoplasmic,0.67
sseB,Cytoplasmic,0.55
sspA,Cytoplasmic,0.66
sspB,Cytoplasmic,0.63
sstT,IntegralMembraneProtein,5.01
sthA,Cytoplasmic,0.71
stpA,Cytoplasmic,0.59
sucA,Cytoplasmic,1.02
sucB,Cytoplasmic,5.48
sucC,Cytoplasmic,0.84
sucD,Cytoplasmic,0.68
sufB,Cytoplasmic,0.99
sufC,Cytoplasmic,0.68
sufD,Cytoplasmic,0.92
sufS,Cytoplasmic,0.87
sugE,IntegralMembraneProtein,4.74
suhB,Cytoplasmic,0.57
sulA,Cytoplasmic,0.69
surA,Periplasmic,0.57
surE,Cytoplasmic,0.69
syd,Cytoplasmic,0.56
tadA,Cytoplasmic,0.60
talA,Cytoplasmic,0.84
talB,Cytoplasmic,0.61
tas,Cytoplasmic,1.03
tatA,Membrane-anchored,20.16
tatB,IntegralMembraneProtein,7.86
tatC,IntegralMembraneProtein,2.35
tatD,Cytoplasmic,0.68
tatE,Membrane-anchored,5.54
tbpA,Periplasmic,0.85
tdcC,IntegralMembraneProtein,5.01
tdcE,Cytoplasmic,0.81
tdh,Cytoplasmic,0.78
tdk,Cytoplasmic,0.65
tehA,IntegralMembraneProtein,1.96
tehB,Cytoplasmic,0.64
tesA,Periplasmic,6.46
tesB,Cytoplasmic,0.67
tgt,Cytoplasmic,0.77
thiI,Cytoplasmic,0.95
thiL,Cytoplasmic,1.00
thiP,IntegralMembraneProtein,2.68
thrA,Cytoplasmic,1.20
thrB,Cytoplasmic,0.73
thrC,Cytoplasmic,0.73
thrL,Cytoplasmic,0.56
thrS,Cytoplasmic,0.86
thyA,Cytoplasmic,1.04
tig,Cytoplasmic,0.47
tilS,Cytoplasmic,0.86
tktA,Cytoplasmic,0.75
tktB,Cytoplasmic,1.17
tldD,Cytoplasmic,0.99
tmk,Cytoplasmic,0.70
tolA,Membrane-anchored,2.02
tolB,Periplasmic,1.12
tolC,OutermembraneProtein,0.54
tolQ,IntegralMembraneProtein,4.52
tolR,Membrane-anchored,11.58
tonB,Membrane-anchored,0.70
topA,Cytoplasmic,0.96
topB,Cytoplasmic,0.80
torR,Cytoplasmic,1.05
tpiA,Cytoplasmic,0.61
tppB,IntegralMembraneProtein,4.32
tpx,Periplasmic,0.59
tqsA,IntegralMembraneProtein,5.61
treA,Periplasmic,1.00
treB,IntegralMembraneProtein,2.38
treC,Cytoplasmic,1.26
treR,Cytoplasmic,0.65
trkA,Cytoplasmic,1.06
trkD,IntegralMembraneProtein,5.49
trkG,IntegralMembraneProtein,5.32
trkH,IntegralMembraneProtein,3.91
trmA,Cytoplasmic,1.19
trmB,Cytoplasmic,0.63
trmD,Cytoplasmic,0.69
trmE,Cytoplasmic,0.76
trmH,Cytoplasmic,0.69
trmJ,Cytoplasmic,0.76
trpA,Cytoplasmic,0.67
trpC,Cytoplasmic,1.09
trpD,Cytoplasmic,0.86
trpE,Cytoplasmic,0.98
trpH,-,1.03
trpR,Cytoplasmic,0.58
trpS,Cytoplasmic,1.20
truA,Cytoplasmic,0.73
truB,Cytoplasmic,0.57
truC,Cytoplasmic,0.99
truD,Cytoplasmic,0.74
trxA,Cytoplasmic,0.53
trxB,Cytoplasmic,0.69
trxC,Cytoplasmic,0.60
tsf,Cytoplasmic,0.58
tsgA,IntegralMembraneProtein,1.79
tsx,OutermembraneProtein,0.87
ttcA,Cytoplasmic,0.69
tufA,Cytoplasmic,0.54
tufB,Cytoplasmic,0.59
tus,Cytoplasmic,0.95
typA,Cytoplasmic,0.83
tyrA,Cytoplasmic,0.86
tyrB,Cytoplasmic,0.99
tyrP,IntegralMembraneProtein,2.40
